accidentrelatedfactor_id,description
0,Επιλέξτε...
1,"Ανεπαρκής προειδοποίηση για εξόδους στον αυτοκινητόδρομο, στένωση λωρίδων, έλεγχος κυκλοφορίας κλπ"
2,"Σχεδιασμός και συνθήκες της Λωρίδας Έκτακτης Ανάγκης (Λ.Ε.Α)"
3,"Κατασκευές και δημόσια έργα στους δρόμους"
4,"Μη ορατή σήμανση οδοστρώματος"
5,"Πλημμυρισμένοι δρόμοι"
6,"Κακοτεχνίες και πρόχειροι σχεδιασμοί δρόμων, γεφύρων κλπ"
7,"Βρεγμένο οδόστρωμα (ολίσθηση)"
8,"Πρόσκρουση οχήματος με φορτίο που λύθηκε στη μεταφορά από άλλο όχημα"
888,"Άλλο "
999,Άγνωστο
