vehiclecdc45_id,code,description,impact
0,NULL,Επιλέξτε...,NULL
1,R0,"¼ από τη δεξιά πλευρά (εκτός των παραμορφώσεων που εκτείνονται μέχρι το φάρδος του τροχού)",Front/Rear
2,L0,"¼ από τη αριστερή πλευρά (εκτός των παραμορφώσεων που εκτείνονται μέχρι το φάρδος του τροχού)",Front/Rear
3,R1,"⅓ από τη δεξιά πλευρά",Front/Rear
4,L1,"⅓ από την αριστερή πλευρά",Front/Rear
5,C0,"Κέντρο (πλάτος κινητήρα)",Front/Rear
6,Z1,"½ από τη δεξιά πλευρά",Front/Rear
7,Y1,"½ από την αριστερή πλευρά",Front/Rear
8,Z0,"⅔ από τη δεξιά πλευρά",Front/Rear
9,Y0,"⅔ από την αριστερή πλευρά",Front/Rear
10,D0,"Κατανομή σε ολόκληρο το πλάτος",Front/Rear
11,F0,"Μπροστινό παρμπρίζ",Side
12,P0,"Όλος ο χώρος επιβατών",Side
13,P1,"Χώρος επιβατών - Μπροστινό κάθισμα",Side
14,P2,"Χώρος επιβατών - Πίσω καθίσμα",Side
15,B0,"Πίσω χώρος επιβατών",Side
16,Y0,"Μπροστινός χώρος επιβατών",Side
17,Y1,"Μπροστινός χώρος επιβατών και μπροστινό κάθισμα",Side
18,Z0,"Πίσω χώρος επιβατών και πίσω καθίσματα",Side
19,Z1,"Το πίσω μέρος και το πίσω κάθισμα",Side
20,D0,"Κατανομή σε ολόκληρη την πλευρά",Side
