id,description
1,Audi
2,Bmw
3,Citroen
4,Fiat
5,Ford
6,Hyundai
7,Mercedes-Benz
8,Nissan
9,Opel
10,Peugeot
11,Renault
12,Smart
13,Suzuki
14,Toyota
15,Volkswagen
16,AC Cobra
17,Abarth
18,Acura
19,Aixam
20,Alfa Romeo
21,Alpina
22,Ariel
23,Asia Motors
24,Aston Martin
25,Austin Healey
26,Austin Morris
27,Austin Rover
28,Autobianchi
29,Beev
30,Bentley
31,Brilliance
32,Bugatti
33,Buick
34,Cadillac
35,Casalini
36,Caterham
37,Chatenet
38,Chery
39,Chevrolet
40,China-Motors
41,Chrysler
42,Club Car
43,Corvette
44,Cupra
45,DR
46,DS
47,Dacia
48,Daewoo
49,Daihatsu
50,DeTomaso
51,Dodge
52,ETuk
53,Ecocar
54,Fang Power
55,Ferrari
56,Fisker
57,GAC Gonow
58,Gemballa
59,Gmc
60,Goupil
61,Grecav
62,HDK
63,Hamann
64,Honda
65,Hummer
66,Infiniti
67,Innocenti
68,Isuzu
69,Iveco
70,Jaguar
71,Jeep
72,Jensen Healey
73,Jiangling
74,KTM
75,Kia
76,Koenigsegg
77,Lada
78,Lamborghini
79,Lancia
80,Land Rover
81,Landwind
82,Lexus
83,Lifan
84,Ligier
85,Lincoln
86,Lotus
87,Mahindra
88,Maserati
89,Maybach
90,Mazda
91,McLaren
92,Mg
93,Microcar
94,Mini
95,Mitsubishi
96,Moretti
97,Morgan
98,Neptun
99,Nsu
100,Oldsmobile
101,Pagani
102,Panther
103,Piaggio
104,Plymouth
105,Polestar
106,Pontiac
107,Porsche
108,Proton
109,Rch Replicarhellas
110,Rolls Royce
111,Rover
112,Saab
113,Santana
114,Seat
115,Shuanghuan
116,Skoda
117,Speedcar
118,Spyker
119,SsangYong
120,Subaru
121,TVR
122,Talbot
123,Tata
124,Tazzari
125,Techart
126,Tesla
127,Trabant
128,Triumph
129,Uaz
130,Vauxhall
131,Volvo
132,Wartburg
133,Westfield
134,Wiesmann
135,Zastava
136,Zhidou
137,Zotye
